#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)    dPsi(")     dPsi_er(")  dEps(")     dEps_er(")
   1900.00   -0.008243    0.030851    0.074524    0.023043  -0.0001433   0.0000000    0.264930    0.000000    0.020524    0.000000
   1900.05    0.036919    0.028107    0.023027    0.020410  -0.0000552   0.0000000    0.265620    0.000000    0.020773    0.000000
   1900.10    0.048626    0.030591    0.012213    0.023914   0.0002547   0.0000000    0.264500    0.000000    0.020135    0.000000
   1900.15    0.030044    0.021677    0.001822    0.021689  -0.0003421   0.0000000    0.264096    0.000000    0.018614    0.000000
   1900.20    0.028233    0.022866   -0.001638    0.021845   0.0000258   0.0000000    0.265617    0.000000    0.017759    0.000000
   1900.25   -0.002585    0.028027   -0.018539    0.023081   0.0001714   0.0000000    0.265693    0.000000    0.016597    0.000000
   1900.30   -0.007789    0.019940   -0.026493    0.020739  -0.0001891   0.0000000    0.266722    0.000000    0.015331    0.000000
   1900.35   -0.058560    0.021354   -0.040665    0.020624   0.0001353   0.0000000    0.267158    0.000000    0.015285    0.000000
   1900.40   -0.064083    0.020570   -0.058525    0.018252   0.0001202   0.0000000    0.265653    0.000000    0.015787    0.000000
   1900.45   -0.072299    0.018508   -0.078147    0.019861  -0.0001042   0.0000000    0.263686    0.000000    0.015619    0.000000
   1900.50   -0.034577    0.019198   -0.034948    0.017398  -0.0000120   0.0000000    0.261244    0.000000    0.016044    0.000000
   1900.55   -0.038486    0.016894   -0.048482    0.019421   0.0001413   0.0000000    0.257711    0.000000    0.016258    0.000000
   1900.60   -0.062491    0.021673   -0.008345    0.019689  -0.0001694   0.0000000    0.254759    0.000000    0.016060    0.000000
   1900.65   -0.081665    0.022414   -0.026032    0.021049   0.0000070   0.0000000    0.254131    0.000000    0.016825    0.000000
   1900.70   -0.080319    0.019374    0.003001    0.019937   0.0001947   0.0000000    0.252905    0.000000    0.016454    0.000000
   1900.75   -0.072751    0.020455    0.052674    0.020015  -0.0002489   0.0000000    0.253766    0.000000    0.016150    0.000000
   1900.80   -0.083560    0.021643    0.052035    0.018454   0.0001062   0.0000000    0.256369    0.000000    0.017218    0.000000
   1900.85   -0.091364    0.028260    0.106118    0.022964   0.0000014   0.0000000    0.258155    0.000000    0.017609    0.000000
   1900.90   -0.072989    0.026383    0.122028    0.023371  -0.0001848   0.0000000    0.259675    0.000000    0.018439    0.000000
   1900.95   -0.003217    0.022081    0.110777    0.022652   0.0001431   0.0000000    0.261616    0.000000    0.018885    0.000000
   1901.00   -0.008999    0.025499    0.105966    0.024579   0.0000935   0.0000000    0.260860    0.000000    0.020044    0.000000
   1901.05   -0.002095    0.022836    0.132433    0.025584  -0.0001666   0.0000000    0.261402    0.000000    0.019038    0.000000
   1901.10    0.020837    0.028302    0.092536    0.024082   0.0000306   0.0000000    0.261280    0.000000    0.019025    0.000000
   1901.15    0.018360    0.027956    0.103719    0.021515   0.0002111   0.0000000    0.260698    0.000000    0.017793    0.000000
   1901.20    0.056932    0.023554    0.110405    0.021221  -0.0002306   0.0000000    0.261268    0.000000    0.016178    0.000000
   1901.25    0.043529    0.021999    0.065032    0.021960   0.0001522   0.0000000    0.262370    0.000000    0.015584    0.000000
   1901.30    0.061386    0.018371    0.062937    0.019515   0.0001837   0.0000000    0.262339    0.000000    0.014761    0.000000
   1901.35    0.102862    0.019188    0.037891    0.019404  -0.0002575   0.0000000    0.262209    0.000000    0.013845    0.000000
   1901.40    0.082057    0.018702   -0.035346    0.021223   0.0001906   0.0000000    0.261544    0.000000    0.014545    0.000000
   1901.45    0.122462    0.017654   -0.030950    0.017565  -0.0000060   0.0000000    0.258834    0.000000    0.015214    0.000000
   1901.50    0.138064    0.019359   -0.028070    0.019466  -0.0000843   0.0000000    0.256237    0.000000    0.014970    0.000000
   1901.55    0.092842    0.020717   -0.106378    0.018840   0.0001510   0.0000000    0.253188    0.000000    0.015189    0.000000
   1901.60    0.069625    0.018277   -0.154104    0.017687   0.0000336   0.0000000    0.250787    0.000000    0.015306    0.000000
   1901.65    0.090727    0.016233   -0.123255    0.016969  -0.0001435   0.0000000    0.249005    0.000000    0.015138    0.000000
   1901.70    0.057035    0.017382   -0.113131    0.017002   0.0000890   0.0000000    0.248895    0.000000    0.016009    0.000000
   1901.75    0.004819    0.021675   -0.085588    0.018248  -0.0000133   0.0000000    0.249136    0.000000    0.015852    0.000000
   1901.80   -0.045617    0.022497   -0.083743    0.018285  -0.0002675   0.0000000    0.251047    0.000000    0.016058    0.000000
   1901.85   -0.069199    0.022228   -0.071911    0.019939   0.0002035   0.0000000    0.253125    0.000000    0.017161    0.000000
   1901.90   -0.058833    0.026237   -0.026192    0.021422  -0.0000562   0.0000000    0.255099    0.000000    0.017867    0.000000
   1901.95   -0.118262    0.022389    0.004167    0.020275  -0.0001667   0.0000000    0.255839    0.000000    0.018179    0.000000
   1902.00   -0.136034    0.024330    0.029198    0.022262   0.0002318   0.0000000    0.256339    0.000000    0.018568    0.000000
   1902.05   -0.139200    0.022642    0.065146    0.025473  -0.0000273   0.0000000    0.255647    0.000000    0.019035    0.000000
   1902.10   -0.130697    0.027268    0.128540    0.023970  -0.0001262   0.0000000    0.255928    0.000000    0.017626    0.000000
   1902.15   -0.128115    0.028362    0.182860    0.026531   0.0000399   0.0000000    0.255896    0.000000    0.016895    0.000000
   1902.20   -0.079887    0.018747    0.204044    0.020428  -0.0000114   0.0000000    0.256403    0.000000    0.015729    0.000000
   1902.25   -0.067570    0.021576    0.222298    0.023089  -0.0001506   0.0000000    0.257266    0.000000    0.014722    0.000000
   1902.30   -0.013968    0.017185    0.203367    0.017863   0.0001840   0.0000000    0.257876    0.000000    0.014304    0.000000
   1902.35    0.034212    0.018380    0.232801    0.018376   0.0000205   0.0000000    0.257131    0.000000    0.013848    0.000000
   1902.40    0.093388    0.016865    0.205084    0.018735  -0.0002486   0.0000000    0.255885    0.000000    0.013502    0.000000
   1902.45    0.150619    0.017301    0.166521    0.018514   0.0002414   0.0000000    0.253883    0.000000    0.014329    0.000000
   1902.50    0.192473    0.017216    0.126473    0.018427  -0.0001151   0.0000000    0.250851    0.000000    0.014713    0.000000
   1902.55    0.205530    0.018393    0.077284    0.018478  -0.0000837   0.0000000    0.248240    0.000000    0.014710    0.000000
   1902.60    0.199909    0.019685    0.028329    0.019206   0.0002625   0.0000000    0.245298    0.000000    0.014710    0.000000
   1902.65    0.171452    0.019643   -0.005918    0.016474  -0.0000070   0.0000000    0.244078    0.000000    0.014803    0.000000
   1902.70    0.157304    0.018012   -0.046201    0.019226  -0.0000394   0.0000000    0.243503    0.000000    0.014733    0.000000
   1902.75    0.085582    0.020996   -0.091055    0.022630   0.0001079   0.0000000    0.244088    0.000000    0.015543    0.000000
   1902.80    0.034264    0.018244   -0.108952    0.016397   0.0000462   0.0000000    0.245612    0.000000    0.015760    0.000000
   1902.85   -0.023222    0.019349   -0.094504    0.020122  -0.0001813   0.0000000    0.248134    0.000000    0.016478    0.000000
   1902.90   -0.068762    0.023282   -0.091381    0.020616   0.0002391   0.0000000    0.248844    0.000000    0.017394    0.000000
   1902.95   -0.132453    0.023709   -0.035292    0.023617  -0.0000673   0.0000000    0.250200    0.000000    0.018154    0.000000
   1903.00   -0.185193    0.023738    0.006100    0.023274  -0.0001214   0.0000000    0.250340    0.000000    0.018100    0.000000
   1903.05   -0.222657    0.024850    0.044197    0.022842   0.0003004   0.0000000    0.249936    0.000000    0.018224    0.000000
   1903.10   -0.234191    0.019913    0.065836    0.021459  -0.0001953   0.0000000    0.249733    0.000000    0.017623    0.000000
   1903.15   -0.212121    0.022848    0.129993    0.023476  -0.0000446   0.0000000    0.250178    0.000000    0.016414    0.000000
   1903.20   -0.175206    0.023818    0.192066    0.022815   0.0001422   0.0000000    0.250687    0.000000    0.015273    0.000000
   1903.25   -0.171274    0.020150    0.183846    0.020687  -0.0000876   0.0000000    0.251303    0.000000    0.014422    0.000000
   1903.30   -0.138038    0.021344    0.226372    0.018849  -0.0000471   0.0000000    0.251880    0.000000    0.013748    0.000000
   1903.35   -0.049058    0.019377    0.282006    0.017309   0.0001614   0.0000000    0.251655    0.000000    0.013940    0.000000
   1903.40    0.001272    0.019149    0.249482    0.021020  -0.0000596   0.0000000    0.250114    0.000000    0.013573    0.000000
   1903.45    0.052790    0.018423    0.270730    0.019675  -0.0001241   0.0000000    0.248069    0.000000    0.013785    0.000000
   1903.50    0.081275    0.016137    0.254392    0.017307   0.0002625   0.0000000    0.244856    0.000000    0.014410    0.000000
   1903.55    0.148594    0.017927    0.236604    0.018798  -0.0001984   0.0000000    0.241534    0.000000    0.014467    0.000000
   1903.60    0.183183    0.015992    0.188983    0.018214  -0.0000895   0.0000000    0.239591    0.000000    0.014642    0.000000
   1903.65    0.219375    0.015083    0.104027    0.017659   0.0002354   0.0000000    0.237146    0.000000    0.014854    0.000000
   1903.70    0.213292    0.020304    0.081533    0.021653  -0.0001618   0.0000000    0.236906    0.000000    0.014642    0.000000
   1903.75    0.185028    0.018178   -0.008935    0.021919   0.0000184   0.0000000    0.238261    0.000000    0.014763    0.000000
   1903.80    0.148785    0.021925   -0.061863    0.017119   0.0002004   0.0000000    0.239356    0.000000    0.015993    0.000000
   1903.85    0.127491    0.024641   -0.108040    0.022892  -0.0001097   0.0000000    0.241287    0.000000    0.016540    0.000000
   1903.90    0.089323    0.027679   -0.098429    0.021118  -0.0001497   0.0000000    0.243467    0.000000    0.017307    0.000000
   1903.95    0.011756    0.029396   -0.093787    0.023481   0.0001186   0.0000000    0.243380    0.000000    0.018197    0.000000
   1904.00   -0.076509    0.029473   -0.075280    0.026064  -0.0001449   0.0000000    0.243821    0.000000    0.018652    0.000000
   1904.05   -0.134517    0.026090   -0.079092    0.023423  -0.0000605   0.0000000    0.244006    0.000000    0.018345    0.000000
   1904.10   -0.172260    0.024175   -0.026536    0.021363   0.0002808   0.0000000    0.243536    0.000000    0.018187    0.000000
   1904.15   -0.193114    0.031547    0.021542    0.032861  -0.0002424   0.0000000    0.243812    0.000000    0.016893    0.000000
   1904.20   -0.219850    0.022221    0.005829    0.028875   0.0000719   0.0000000    0.244539    0.000000    0.015876    0.000000
   1904.25   -0.202014    0.023388    0.077045    0.021587   0.0002179   0.0000000    0.244946    0.000000    0.014949    0.000000
   1904.30   -0.184649    0.032010    0.127916    0.024826  -0.0002491   0.0000000    0.245073    0.000000    0.014178    0.000000
   1904.35   -0.159053    0.019033    0.153481    0.021048   0.0000536   0.0000000    0.245155    0.000000    0.013770    0.000000
   1904.40   -0.120127    0.022943    0.233727    0.021688   0.0001526   0.0000000    0.244013    0.000000    0.014755    0.000000
